Vehicle,Price,Year,Manufacturer,Model,Condition,Cylinders,Fuel,Odometer,Transmission,Drive,Type,Paint,State
15560,7995,2010,mazda,cx-9,excellent,6,gas,164056,automatic,fwd,SUV,black,fl
15561,800,1996,chevrolet,cavalier,fair,4,gas,165425,automatic,fwd,sedan,purple,fl
15562,9700,2005,ford,f-350 super duty,good,8,diesel,223000,automatic,4wd,truck,white,fl
15563,9899,2012,hyundai,sonata gls,excellent,4,gas,124821,automatic,fwd,sedan,silver,fl
15564,19998,1992,chevrolet,camaro z28,good,8,gas,93000,automatic,rwd,coupe,black,fl
15565,8900,2011,buick,enclave,good,6,gas,114000,automatic,fwd,SUV,grey,fl
15566,2500,2003,toyota,camry,good,4,gas,172000,manual,fwd,sedan,silver,fl
15567,11999,2014,hyundai,sonata gls,excellent,4,gas,109221,automatic,fwd,sedan,black,fl
15568,18999,2013,cadillac,srx,excellent,6,gas,69945,automatic,fwd,SUV,white,fl
15569,8999,2012,hyundai,elantra,excellent,4,gas,113499,automatic,fwd,sedan,white,fl
15570,26999,2014,ford,f150 xlt 4x4,excellent,8,gas,94168,automatic,4wd,truck,white,fl
15571,7500,2004,ford,f-250 4x4,good,8,diesel,160000,automatic,4wd,truck,black,fl
15572,2000,2010,ford,focus,good,4,gas,160000,automatic,fwd,sedan,red,fl
15573,6000,2002,ford,f250 super duty 4x4,good,8,diesel,155000,automatic,4wd,truck,white,fl
15574,13999,2004,ford,thunderbird,good,8,gas,85873,automatic,rwd,convertible,blue,fl
15575,12950,2013,ford,edge,good,6,gas,142304,automatic,fwd,wagon,black,fl
15576,2500,2004,ford,expedition,fair,8,gas,244000,automatic,4wd,SUV,white,fl
15577,3400,1997,chevrolet,s10 pickup,excellent,4,gas,147677,automatic,rwd,truck,white,fl
15578,21900,2000,pontiac,firebird formula,like new,8,gas,56689,automatic,rwd,hatchback,black,fl
15579,4800,2005,jeep,liberty 4x4,good,6,gas,170000,automatic,4wd,SUV,grey,fl
15580,16500,2011,chevrolet,silverado 1500 lt,excellent,8,gas,97300,automatic,rwd,truck,black,fl
15581,15999,2013,gmc,sierra lt,excellent,8,gas,110196,automatic,rwd,truck,silver,fl
15582,22999,2016,chevrolet,colorado lt,excellent,6,gas,91188,automatic,rwd,truck,black,fl
15583,7999,2010,kia,forte ex,excellent,4,gas,99274,automatic,fwd,sedan,silver,fl
15584,15000,2009,ram,2500 power wagon,good,8,gas,168000,automatic,4wd,truck,white,fl
15585,17999,2015,hyundai,sonata limited,excellent,4,gas,81195,automatic,fwd,sedan,silver,fl
15586,19500,2015,gmc,acadia,excellent,6,gas,83000,automatic,4wd,SUV,silver,fl
15587,8995,2013,kia,sorento,excellent,6,gas,150211,automatic,4wd,SUV,purple,fl
15588,7995,2013,chevrolet,volt,excellent,4,hybrid,126736,automatic,fwd,sedan,black,fl
15589,7995,2008,ford,edge limited,excellent,6,gas,145568,automatic,fwd,SUV,black,fl
15590,7995,2012,chevrolet,malibu,excellent,4,gas,108711,automatic,fwd,sedan,silver,fl
15591,14000,1982,ford,f-100,excellent,8,gas,58000,automatic,rwd,truck,brown,fl
15592,9500,2008,toyota,solara se convertible,excellent,6,gas,72000,automatic,fwd,convertible,red,fl
15593,4000,2005,ram,1500,good,8,gas,190000,automatic,rwd,truck,black,fl
15594,3500,2009,hyundai,veracruz,good,6,gas,150000,automatic,fwd,SUV,grey,fl
15595,3200,2002,toyota,sienna ce,good,6,gas,163000,automatic,fwd,mini-van,blue,fl
